Gap_ID,Data_Item,Filing_Section,Expected_File,Priority,Status,Retrieval_Attempt_1,Command_1,Result_1,Fill_Status,Notes
G1,CET1 Ratio and Tier 1 Capital,Note 20 / Item 7A,financial_statements.txt,HIGH,UNRESOLVED,Searched raw financial_statements.txt for CET1 / Tier 1 data,Direct file read,Not present (balance sheet shows equity but not regulatory capital ratios),OPEN,"CET1 ratio required for bank analysis; raw file lacks Note 20 detail; 10-K references Note 20 for capital ratios."
G2,Specific Market Risk VaR and RWA,Item 7A / Note,financial_statements.txt,MEDIUM,UNRESOLVED,Searched raw financial_statements.txt,Direct file read,Not present in raw extract,MEDIUM,"Total RWAs referenced in risk factors but exact numbers not in raw data extract."
G3,LCR and NSFR Ratios,Note 20 / Item 7A,financial_statements.txt,HIGH,UNRESOLVED,Searched raw financial_statements.txt for LCR and NSFR,Direct file read,Not present in raw extract,OPEN,"LCR/NSFR quantitatively required; governance references exist but ratios absent."
G4,Total RWAs and RWA by Type,Note 20 / Item 7A,financial_statements.txt,MEDIUM,UNRESOLVED,Searched item_1_business.txt for RWAs,Read item_1_business.txt,Governance framework mentioned but no quantitative RWA data,OPEN,"Reference to RWA/SCB in governance section but no quantitative values found."
G5,CRO Name and Title,Proxy / DEF 14A,proxy_governance.txt,MEDIUM,UNRESOLVED,Read proxy_governance.txt,Direct file read,CRO name not found in proxy snippets,OPEN,"CRO exists per risk management framework but name not disclosed in available proxy extract. Stated as not disclosed."
G6,Material Legal Proceedings Detail,Item 3 / Note 27,item_3_legal.txt,MEDIUM,UNRESOLVED,Read item_3_legal.txt,Direct file read,File states proceedings are underway but does not list individual cases,OPEN,"No specific proceedings itemized; aggregate loss estimate not disclosed."
G7,Reasonable Possible Loss Range,Note 27 / Item 8,relevant_notes.txt,MEDIUM,UNRESOLVED,Searched relevant_notes.txt for litigation contingency amounts,Text search,No matching note found for litigation,OPEN,"Note 27 not in relevant_notes.txt output; aggregate loss range not retrievable."
G8,Credit Ratings,Note or Item 7A,relevant_notes.txt,LOW,UNRESOLVED,Searched relevant_notes.txt for credit ratings information,Direct file read,Governing credit rating information not in extracted notes,LOW,"Credit ratings referenced in Item 1A but exact current ratings not in raw data."
G9,NIM and Net Interest Margin Data,Item 7A / Income Statement,financial_statements.txt,LOW,RESOLVED,NII data available from income statement,Calculated from raw data,NII = $13,559M (FY2025); $8,056M (FY2024); NIM computed,DERIVED,"NIM calculated using NII / average total assets as proxy."
G10,Note 37 Cyber Disclosure,Note 37 / Item 1C,relevant_notes.txt,HIGH,PARTIAL,Searched relevant_notes.txt for cybersecurity disclosures,Text search,Note 37 not retrieved — partial only (item_1A_cyber language exists),PARTIAL,"Cybersecurity risk language in Item 1A is extensive but Note 37 (Item 106 disclosure) not extracted."
